Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap,Revenue Potential Gap,Property ID,Property name,Phone,Phone source,Phone confidence,Phone evidence,Phone belongs to,Website,Email,Social media link,Social media type
The Juniper-Gathering Tree's Ultimate 12 suite D,6571387,,226230,227162,2094.72,31.03,363,12,12,16,true,false,true,true,true,false,false,Home/Apartment,House,House/villa,5,119,3,21+,Luxury,true,781,true,108,30,2026-05-13,Flagstaff,Flagstaff,Flagstaff,Arizona,86001,United States,mid_size_city,https://www.airbnb.com/rooms/48609035,https://a0.muscache.com/im/pictures/prohost-api/Hosting-48609035/original/d78431b8-c76f-4505-8255-acc95e0540c8.jpeg,48609035,2239999,35.19136,-111.64631,40.01,=AVERAGE($D$2:$D$130),-8.98,"=IFERROR(($AU10-D10)/$AU10,0)",=$AU10-D10,932,48609035,The Juniper-Gathering Tree's Ultimate 12 suite D,,,,,,,,,
Paradise Castle+PickleballCrt+Putt+SpaRoom+GameRm,List My Rental Home,,310961,339800,1907.74,49.85,327,7,5,16,true,true,true,true,true,false,true,Home/Apartment,House,House/villa,4.85,141,4,21+,Luxury,true,788,true,163,47,2026-05-11,Phoenix/Scottsdale,Paradise Valley,Scottsdale,Arizona,85259,United States,suburban,https://www.airbnb.com/rooms/48756329,https://a0.muscache.com/im/pictures/prohost-api/Hosting-48756329/original/cc8470e1-7df8-43b4-8e2d-740ed4f6c3f6.jpeg,48756329,2832008,33.59083,-111.85398,53.10,=AVERAGE($D$2:$D$596),-3.25,"=IFERROR(($AU39-D39)/$AU39,0)",=$AU39-D39,28839,48756329,Paradise Castle+PickleballCrt+Putt+SpaRoom+GameRm,,,,,,,,,
Live the High Life - Lavish Scottsdale Home,VacayAZ,,329691,344688,1498.6,63.4,347,5,4,14,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,4.95,104,3,21+,Luxury,true,1128,true,220,63,2026-05-17,Phoenix/Scottsdale,Paradise Valley,Scottsdale,Arizona,85254,United States,suburban,https://www.airbnb.com/rooms/48848735,https://a0.muscache.com/im/pictures/prohost-api/Hosting-48848735/original/553eb11b-847f-43db-ad8c-3c2250854f59.jpeg,48848735,2288017,33.5878,-111.92384,52.34,=AVERAGE($D$2:$D$596),11.06,"=IFERROR(($AU37-D37)/$AU37,0)",=$AU37-D37,14997,48848735,Live the High Life - Lavish Scottsdale Home,,,,,,,,,
Scottsdalestays 9BDRM Multimillion Estate-Pool-Spa,238954779,,148929,191613,1353.9,40.59,293,9,5,16,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,4.7,133,3,21+,Luxury,false,390,true,110,33,2026-05-11,Phoenix/Scottsdale,Paradise Valley,Scottsdale,Arizona,85254,United States,suburban,https://www.airbnb.com/rooms/49963832,https://a0.muscache.com/im/pictures/prohost-api/Hosting-49963832/original/430ad447-4e36-46a0-b011-9d6513dad24d.jpeg,49963832,2011827,33.60616,-111.94397,53.10,=AVERAGE($D$2:$D$596),-12.51,"=IFERROR(($AU171-D171)/$AU171,0)",=$AU171-D171,42684,49963832,Scottsdalestays 9BDRM Multimillion Estate-Pool-Spa,,,,,,,,,
Million $ Desert Dream + Waterslide + Pickleball Court + Golf,List My Rental Home,,212463,271701,1686.21,42.57,299,6,4,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.9,115,4,21+,Luxury,true,775,true,126,35,2026-05-11,Phoenix/Scottsdale,Paradise Valley,Scottsdale,Arizona,85254,United States,suburban,https://www.airbnb.com/rooms/50197748,https://a0.muscache.com/im/pictures/prohost-api/Hosting-50197748/original/97db83f5-118e-4867-b5b4-fb9425f6e69c.jpeg,50197748,2356253,33.60618,-111.94268,47.11,=AVERAGE($D$2:$D$596),-4.54,"=IFERROR(($AU105-D105)/$AU105,0)",=$AU105-D105,59238,50197748,Million $ Desert Dream + Waterslide + Pickleball Court + Golf,,,,,,,,,
Luxe Desert Compound | Private Heated Pool,Heirloom,,141075,152480,1369.66,41.04,251,8,5,16,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.6,129,2,21+,Luxury,true,500,true,103,29,2025-07-16,Phoenix/Scottsdale,Paradise Valley,Scottsdale,Arizona,85254,United States,suburban,https://www.airbnb.com/rooms/50593672,https://a0.muscache.com/im/pictures/prohost-api/Hosting-50593672/original/be8bf4e1-6c19-43f8-9ac6-7e4efa05902b.jpeg,50593672,2363794,33.5847775,-111.9439351,53.10,=AVERAGE($D$2:$D$596),-12.06,"=IFERROR(($AU181-D181)/$AU181,0)",=$AU181-D181,11405,50593672,Luxe Desert Compound | Private Heated Pool,,,,,,,,,
"Pet Friendly, Extravagant North Scottsdale Estate - Theater, Bball & more!",VacayAZ,,150930,193011,1540.1,38.58,273,7,5,16,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,4.9,114,3,21+,Luxury,true,1335,true,98,27,2026-05-17,Phoenix/Scottsdale,Cave Creek,Cave Creek,Arizona,85331,United States,suburban,https://www.airbnb.com/rooms/50637185,https://a0.muscache.com/im/pictures/prohost-api/Hosting-50637185/original/0404fb05-d5d2-4f94-b84c-bfded28ce915.jpeg,50637185,2373557,33.76406,-111.96093,49.30,=AVERAGE($D$2:$D$329),-10.72,"=IFERROR(($AU21-D21)/$AU21,0)",=$AU21-D21,42081,50637185,"Pet Friendly, Extravagant North Scottsdale Estate - Theater, Bball & more!",,,,,,,,,
ParadiseValleyMillion$ Estate+Golf+Boccee+Casita,List My Rental Home,,213424,241718,1546.55,41.69,331,5,6,15,true,false,false,true,true,false,true,Home/Apartment,House,House/villa,4.85,107,4,21+,Luxury,true,784,true,138,39,2026-05-13,Phoenix/Scottsdale,Paradise Valley,Paradise Valley,Arizona,85253,United States,suburban,https://www.airbnb.com/rooms/50794628,https://a0.muscache.com/im/pictures/prohost-api/Hosting-50794628/original/4036010d-eae6-4397-868c-83fb7b04daff.jpeg,50794628,2385360,33.57343,-111.97696,52.34,=AVERAGE($D$2:$D$596),-10.65,"=IFERROR(($AU103-D103)/$AU103,0)",=$AU103-D103,28294,50794628,ParadiseValleyMillion$ Estate+Golf+Boccee+Casita,,,,,,,,,
"Scottsdale Fabulous: Golf & MT Views, Pvt Htd POOL w/Waterfall, Game Room, TVs & King Beds All BRs",Arizona Vacation Home Rentals,,250247,266948,3475.65,30.13,319,6,4,16,true,false,false,true,true,false,true,Home/Apartment,House,House/villa,5,18,1,21+,Luxury,false,654,true,72,18,2022-04-26,Phoenix/Scottsdale,Fountain Hills,Fountain Hills,Arizona,85268,United States,suburban,https://www.airbnb.com/rooms/51713856,https://a0.muscache.com/im/pictures/prohost-api/Hosting-51713856/original/eee3c1c0-87a4-4edb-98bb-7eeb5ccf3c0f.jpeg?aki_policy=x_large,51713856,2388279,33.60262,-111.75543,27.56,=AVERAGE($D$2:$D$134),2.57,"=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2,16701,51713856,"Scottsdale Fabulous: Golf & MT Views, Pvt Htd POOL w/Waterfall, Game Room, TVs & King Beds All BRs",,,,,,,,,
"Phoenician Villa | Sauna, Pool & Spa",AZHolidayRental,,124248,167473,1882.55,45.21,322,7,6,16,true,true,true,true,true,true,true,Home/Apartment,Villa,House/villa,4.95,15,3,21+,Luxury,true,834,true,66,9,2026-05-14,Phoenix/Scottsdale,Paradise Valley,Scottsdale,Arizona,85254,United States,suburban,https://www.airbnb.com/rooms/52244259,https://a0.muscache.com/im/pictures/hosting/Hosting-52244259/original/2dc7ec65-152a-4609-8d06-28f006ac1ee8.jpeg,52244259,2432244,33.5854,-111.9467,53.10,=AVERAGE($D$2:$D$596),-7.89,"=IFERROR(($AU208-D208)/$AU208,0)",=$AU208-D208,43225,52244259,"Phoenician Villa | Sauna, Pool & Spa",,,,,,,,,
