Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap,Revenue Potential Gap,Property ID,Property name,Phone,Phone source,Phone confidence,Phone evidence,Phone belongs to,Website,Email,Social media link,Social media type
"ANDY ROSSE LUXURY VILLA - WALK TO BEACH, SHOPS & RESTAURANTS",,,176354,199728,1410.83,45.29,325,5,5,12,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,5,42,7,1,Luxury,false,500,false,125,18,2026-05-17,Cape Coral/Fort Myers,Captiva,Captiva,Florida,33924,United States,coastal,https://www.vrbo.com/2261142,https://media.vrbo.com/lodging/67000000/66400000/66390600/66390525/6db3904f.jpg?impolicy=resizecrop&rw=1200&ra=fit,,2261142,26.522316,-82.191352,55.98,=AVERAGE($D$2:$D$501),-10.69,"=IFERROR(($AU27-D27)/$AU27,0)",=$AU27-D27,23374,2261142,"ANDY ROSSE LUXURY VILLA - WALK TO BEACH, SHOPS & RESTAURANTS",,,,,,,,,
Waterfront Sea Oats - Luxe 11 bedroom - Book Now!,12270751,,1094093,1252766,6287.89,54.55,319,11,9,16,true,true,true,true,true,true,true,Home/Apartment,Villa,House/villa,5,3,3,6-20,Luxury,false,2800,false,174,28,2026-05-14,Cape Coral/Fort Myers,Captiva,Captiva,Florida,33924,United States,coastal,https://www.airbnb.com/rooms/2401153,https://a0.muscache.com/im/pictures/miso/Hosting-2401153/original/f4813b5b-333b-4494-af01-ec89a96f47fe.jpeg,2401153,,26.49503,-82.183,52.23,=AVERAGE($D$2:$D$501),2.32,"=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3,158673,2401153,Waterfront Sea Oats - Luxe 11 bedroom - Book Now!,,,,,,,,,
Sea Dreams~ New Beachfront~ 5 bedroom/5 bathroom~ Pool & Spa,,,134008,154859,1207.28,44.4,307,5,5,18,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,5,67,3,1,Luxury,false,375,true,111,27,2026-05-15,Galveston,Port Bolivar,Port Bolivar,Texas,77650,United States,coastal,https://www.vrbo.com/2452610,https://media.vrbo.com/lodging/71000000/70940000/70939600/70939532/86e91f56.jpg?impolicy=resizecrop&rw=1200&ra=fit,,2452610,29.427839,-94.677273,45.23,=AVERAGE($D$2:$D$830),-0.83,"=IFERROR(($AU66-D66)/$AU66,0)",=$AU66-D66,20851,2452610,Sea Dreams~ New Beachfront~ 5 bedroom/5 bathroom~ Pool & Spa,,,,,,,,,
"BEAUTY AND THE BEACH- BEACHFRONT MANSION, HEATED POOL",,,120853,212614,1233.19,45.58,244,5,5,17,true,false,false,true,true,false,true,Home/Apartment,House,House/villa,4.5,14,7,1,Luxury,false,700,true,98,15,2026-05-14,Cape Coral/Fort Myers,Captiva,Captiva,Florida,33924,United States,coastal,https://www.vrbo.com/2845710,https://media.vrbo.com/lodging/80000000/79290000/79280300/79280271/eacaecb7.jpg?impolicy=resizecrop&rw=1200&ra=fit,,2845710,26.595443,-82.223416,55.98,=AVERAGE($D$2:$D$501),-10.40,"=IFERROR(($AU57-D57)/$AU57,0)",=$AU57-D57,91761,2845710,"BEAUTY AND THE BEACH- BEACHFRONT MANSION, HEATED POOL",,,,,,,,,
So Fresh and So Green South of 30A Private Beach Access Heated Pool Elevator,Bespoke Management,,130756,244155,1951.58,35.64,250,9,7,26,true,false,false,true,true,false,true,Home/Apartment,House,House/villa,5,5,3,2-5,Luxury,false,845,true,67,16,2026-05-15,Santa Rosa/Rosemary Beach,Rosemary Beach / 30a,Rosemary Beach,Florida,32413,United States,coastal,https://www.vrbo.com/3721697,https://media.vrbo.com/lodging/101000000/100530000/100525400/100525329/68234211.jpg?impolicy=resizecrop&rw=1200&ra=fit,,3721697,30.286733,-86.039724,54.21,=AVERAGE($D$2:$D$1233),-18.57,"=IFERROR(($AU1126-D1126)/$AU1126,0)",=$AU1126-D1126,113399,3721697,So Fresh and So Green South of 30A Private Beach Access Heated Pool Elevator,,,,,,,,,
Rosemary Beach Home and Carriage House Sleeps 16 with private pool and courtyard,,,222047,259811,2265.79,45.58,224,7,6,18,true,true,false,true,true,false,true,Home/Apartment,House,House/villa,4.9,8,2,1,Luxury,false,796,true,98,20,2025-12-04,Santa Rosa/Rosemary Beach,Rosemary Beach / 30a,Rosemary Beach,Florida,32413,United States,coastal,https://www.vrbo.com/4069757,https://media.vrbo.com/lodging/107000000/106400000/106392200/106392150/fba527f2.jpg?impolicy=resizecrop&rw=1200&ra=fit,,4069757,30.28402,-86.0163,54.21,=AVERAGE($D$2:$D$1233),-8.63,"=IFERROR(($AU1073-D1073)/$AU1073,0)",=$AU1073-D1073,37764,4069757,Rosemary Beach Home and Carriage House Sleeps 16 with private pool and courtyard,,,,,,,,,
"Crown of 30A! Pool+Golf Cart+Bikes, 1Min to Beach",,,211897,400513,2584.11,62.6,162,6,6,22,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,5,4,3,1,Luxury,false,0,true,82,15,2026-03-01,Santa Rosa/Rosemary Beach,Miramar Beach,Santa Rosa Beach,Florida,32459,United States,coastal,https://www.vrbo.com/4121224,https://media.vrbo.com/lodging/108000000/107280000/107277400/107277362/96313a91.jpg?impolicy=resizecrop&rw=1200&ra=fit,,4121224,30.351833,-86.25405,58.77,=AVERAGE($D$2:$D$554),3.83,"=IFERROR(($AU40-D40)/$AU40,0)",=$AU40-D40,188616,4121224,"Crown of 30A! Pool+Golf Cart+Bikes, 1Min to Beach",,,,,,,,,
"2 Beachfront Homes, 2 Heated Pools, 3 Hot Tubs, 2 Lifts, Pet Friendly, Sleeps 56",,,132168,170975,3003.82,28.21,209,13,10,56,true,true,true,true,true,true,true,Home/Apartment,House,House/villa,5,1,3,1,Luxury,false,1250,true,44,14,2026-05-16,Galveston,Port Bolivar,Gilchrist,Texas,77617,United States,coastal,https://www.vrbo.com/4816628,https://media.vrbo.com/lodging/121000000/120380000/120378500/120378479/d4fbfb07.jpg?impolicy=resizecrop&rw=1200&ra=fit,,4816628,29.506441,-94.515378,47.56,=AVERAGE($D$2:$D$830),-19.35,"=IFERROR(($AU71-D71)/$AU71,0)",=$AU71-D71,38807,4816628,"2 Beachfront Homes, 2 Heated Pools, 3 Hot Tubs, 2 Lifts, Pet Friendly, Sleeps 56",,,,,,,,,
"3 Beachfront Homes, 3 Heated Pools, 4 Hot Tubs, 3 Lifts, Pet Friendly, Sleeps 80",,,260969,319363,4209.18,45.26,194,18,14,80,true,true,true,true,true,true,true,Home/Apartment,House,House/villa,0,0,3,1,Luxury,false,1800,true,62,17,2026-05-16,Galveston,Port Bolivar,Gilchrist,Texas,77617,United States,coastal,https://www.vrbo.com/4821106,https://media.vrbo.com/lodging/121000000/120440000/120438100/120438091/0bb55640.jpg?impolicy=resizecrop&rw=1200&ra=fit,,4821106,29.506441,-94.515378,47.56,=AVERAGE($D$2:$D$830),-2.30,"=IFERROR(($AU12-D12)/$AU12,0)",=$AU12-D12,58394,4821106,"3 Beachfront Homes, 3 Heated Pools, 4 Hot Tubs, 3 Lifts, Pet Friendly, Sleeps 80",,,,,,,,,
Best Location.Only2 blocks to Cloister&Beach Club.,15646875,,148894,208248,1884.73,32.78,288,5,5,12,true,false,false,true,true,false,false,Home/Apartment,House,House/villa,5,2,3,1,Luxury,false,300,false,79,12,2026-05-16,Amelia/St. Simons/Jekyll Islands,Saint Simons Island,Sea Island,Georgia,31561,United States,coastal,https://www.airbnb.com/rooms/9307503,https://a0.muscache.com/im/pictures/c792e92e-1159-4c37-b101-48f73b57404b.jpg,9307503,,31.1831,-81.3484,50.61,=AVERAGE($D$2:$D$1001),-17.83,"=IFERROR(($AU547-D547)/$AU547,0)",=$AU547-D547,59354,9307503,Best Location.Only2 blocks to Cloister&Beach Club.,,,,,,,,,
