Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap,Revenue Potential Gap,Property ID,Property name,Phone,Phone source,Phone confidence,Phone evidence,Phone belongs to,Website,Email,Social media link,Social media type
"Majestic Manor with Private Pool, Theater Room, Large outdoor wedding altar",,,157794,208761,3757,38.18,139,10,12,38,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4.9,6,2,1,Luxury,false,1200,true,42,9,2025-11-11,Durango,Durango,Durango,Colorado,81301,United States,mountains_lakes,https://www.vrbo.com/4129704,https://media.vrbo.com/lodging/108000000/107450000/107440200/107440170/df1f444b.jpg?impolicy=resizecrop&rw=1200&ra=fit,,4129704,37.352325,-107.65797,37.70,=AVERAGE($D$2:$D$448),0.48,"=IFERROR(($AU5-D5)/$AU5,0)",=$AU5-D5,50967,4129704,"Majestic Manor with Private Pool, Theater Room, Large outdoor wedding altar",,,,,,,,,
Luxury Ski in/out Ski Lodge,515028277,,129428,129428,1559.37,39.15,365,5,5,12,true,false,true,true,true,true,true,Home/Apartment,House,House/villa,4.65,9,2,6-20,Luxury,true,374,false,83,15,2026-05-16,Durango,Purgatory,Durango,Colorado,81301,United States,mountains_lakes,https://www.airbnb.com/rooms/975472310042805574,https://a0.muscache.com/im/pictures/miso/Hosting-975472310042805574/original/926e4280-cdcc-4585-ac16-0a5d7e80b410.jpeg,975472310042805574,,37.6281,-107.815,39.15,=AVERAGE($D$2:$D$448),0,"=IFERROR(($AU8-D8)/$AU8,0)",=$AU8-D8,0,975472310042805574,Luxury Ski in/out Ski Lodge,,,,,,,,,
Majestic Manor Estate,723173971,,105720,119951,3020.57,37.23,199,10,11,16,true,false,true,false,true,false,true,Home/Apartment,House,House/villa,5,1,2,2-5,Luxury,false,1475,true,35,11,2026-05-13,Durango,Durango,Durango,Colorado,81301,United States,mountains_lakes,https://www.airbnb.com/rooms/1528339521929682756,https://a0.muscache.com/im/pictures/hosting/Hosting-1528339521929682756/original/beeb57aa-43aa-454c-9a0a-fd37d85085b4.jpeg,1528339521929682756,4884273,37.35338,-107.65884,37.70,=AVERAGE($D$2:$D$448),-0.48,"=IFERROR(($AU17-D17)/$AU17,0)",=$AU17-D17,14231,1528339521929682756,Majestic Manor Estate,,,,,,,,,
