Title,Property Manager/Host,Contact,Revenue,Revenue Potential,ADR,Occupancy,Days Available,Bedrooms,Bathrooms,Accommodates,Has Air Conditioning,Has Gym,Has Hot Tub,Has Kitchen,Has Parking,Has Pets,Has Pool,Listing Type,Property Type,Real Estate Type,Overall Rating,Number of Reviews,Minimum Stay,Host Unit Count,Price Tier,Airbnb Superhost,Cleaning Fee,Instant Book,Reserved Days,Number of Bookings,Last Update,AirDNA Market,AirDNA Subarket,City,State,Zipcode,Country,Location Type,Listing URL,Main Listing Image,Airbnb Property ID,Vrbo Property ID,Latitude,Longitude,Market Average Occupancy,Market Average Revenue,Occupancy Gap,Revenue % Gap,Revenue $ Gap,Revenue Potential Gap,Property ID,Property name,Phone,Phone source,Phone confidence,Phone evidence,Phone belongs to,Website,Email,Social media link,Social media type
Mid Century Mtn Home and 2 cabins on 3 acres - 10,Vacation Rental Collective,,139537,171939,1354.73,39.92,292,7,8,16,true,false,true,true,false,false,false,Home/Apartment,House,House/villa,4.9,13,3,21+,Luxury,true,870,true,103,20,2026-05-13,Durango,Durango,Durango,Colorado,81301,United States,mountains_lakes,https://www.airbnb.com/rooms/1037698585686426701,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1037698585686426701/original/4066650a-d774-4066-b937-8090d1b5068d.jpeg,1037698585686426701,3667822,37.3635,-107.8548,38.44,=AVERAGE($D$2:$D$448),1.48,"=IFERROR(($AU6-D6)/$AU6,0)",=$AU6-D6,32402,1037698585686426701,Mid Century Mtn Home and 2 cabins on 3 acres - 10,,,,,,,,,
The Country Club • Lux • Sleeps 19 $0 Cleaning Fee,HFTH,,415703,499170,1989.01,69.44,301,8,6,16,false,false,true,true,true,true,false,Home/Apartment,House,House/villa,5,102,2,21+,Luxury,true,1005,false,209,59,2026-05-17,Frisco/Silverthorne,Keystone,Dillon,Colorado,80435,United States,mountains_lakes,https://www.airbnb.com/rooms/1061060651261837058,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1061060651261837058/original/3e9586d4-066b-445c-b1d8-57e80e6b866f.png,1061060651261837058,3790080,39.6023,-105.9874,59.30,=AVERAGE($D$2:$D$439),10.13,"=IFERROR(($AU4-D4)/$AU4,0)",=$AU4-D4,83467,1061060651261837058,The Country Club • Lux • Sleeps 19 $0 Cleaning Fee,,,,,,,,,
"Brand New Home Across from Purg - Awesome Views, A",Vacation Rental Collective,,257098,292595,1725.49,49.01,332,5,4,14,true,true,true,true,false,false,true,Home/Apartment,House,House/villa,4.95,23,3,21+,Luxury,true,1393,true,149,33,2026-05-11,Durango,Purgatory,Durango,Colorado,81301,United States,mountains_lakes,https://www.airbnb.com/rooms/1076868415909943290,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1076868415909943290/original/c2c19f6e-0b44-4734-ac45-cebaa9c05d30.jpeg,1076868415909943290,3817759,37.6199,-107.8093,49.84,=AVERAGE($D$2:$D$448),-0.83,"=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2,35497,1076868415909943290,"Brand New Home Across from Purg - Awesome Views, A",,,,,,,,,
Skyview Luxury Vacation Rental by Windcliff Homes,RedAwning,,228532,361941,3312.06,32.24,252,5,5,10,true,false,true,true,true,false,true,Home/Apartment,House,House/villa,4,1,2,21+,Luxury,false,2428,true,69,8,2025-11-15,Rocky Mtn Natl Park,Estes Park,Estes Park,Colorado,80517,United States,mountains_lakes,https://www.airbnb.com/rooms/1078128405248222069,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1078128405248222069/original/474588ab-1633-4712-89d7-b54e4db52dc6.jpeg,1078128405248222069,9922240ha,40.333088,-105.556849,48.54,=AVERAGE($D$2:$D$501),-16.30,"=IFERROR(($AU26-D26)/$AU26,0)",=$AU26-D26,133409,1078128405248222069,Skyview Luxury Vacation Rental by Windcliff Homes,,,,,,,,,
Resort Villa 510 - Hot Tub - Dscounted Attractions,Winter Park Escapes,,201495,274143,1334.4,55.51,277,5,5,14,false,false,true,true,true,false,false,Home/Apartment,House,House/villa,4.95,54,2,21+,Luxury,true,948,true,151,40,2026-05-13,Winter Park/Idaho Springs,Winter Park,Winter Park,Colorado,80482,United States,mountains_lakes,https://www.airbnb.com/rooms/1134265223418214424,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1134265223418214424/original/17695232-4bf0-4b86-9a1c-55a482affbb9.jpeg,1134265223418214424,9948385ha,39.8943,-105.7601,44.88,=AVERAGE($D$2:$D$501),10.63,"=IFERROR(($AU9-D9)/$AU9,0)",=$AU9-D9,72648,1134265223418214424,Resort Villa 510 - Hot Tub - Dscounted Attractions,,,,,,,,,
"Mountain Luxury, Telluride's Tranquil Retreat",Exceptional Stays,,210821,337907,5270.52,28.99,277,5,5,12,false,false,true,true,true,true,false,Home/Apartment,Condominium (condo),Apt/Condo/Loft,4.5,2,4,21+,Luxury,true,1382,false,40,8,2026-05-14,Telluride,Telluride,Telluride,Colorado,81435,United States,mountains_lakes,https://www.airbnb.com/rooms/1145793017891149629,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1145793017891149629/original/890d529d-900e-4817-939b-3e10d93655c5.jpeg,1145793017891149629,3979509,37.93693,-107.81196,42.79,=AVERAGE($D$2:$D$151),-13.80,"=IFERROR(($AU14-D14)/$AU14,0)",=$AU14-D14,127086,1145793017891149629,"Mountain Luxury, Telluride's Tranquil Retreat",,,,,,,,,
Nirvana: Luxury Telluride Penthouse with Stunning,Exceptional Stays,,162333,268880,3959.34,26.62,307,5,5,12,false,false,false,true,true,true,false,Home/Apartment,House,House/villa,5,1,7,21+,Luxury,true,736,false,41,8,2026-05-14,Telluride,Telluride,Telluride,Colorado,81435,United States,mountains_lakes,https://www.airbnb.com/rooms/1148018134286272917,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1148018134286272917/original/42dad878-cb8a-440e-9781-63bb50a3f189.jpeg,1148018134286272917,3985483,37.93783,-107.80518,42.79,=AVERAGE($D$2:$D$151),-16.17,"=IFERROR(($AU25-D25)/$AU25,0)",=$AU25-D25,106547,1148018134286272917,Nirvana: Luxury Telluride Penthouse with Stunning,,,,,,,,,
The Avenue! Historic Mansion in DT Manitou Springs,Renjoy,,243579,250322,1383.97,51.76,348,9,8,16,true,false,true,true,true,false,false,Home/Apartment,Villa,House/villa,5,71,3,21+,Luxury,false,838,false,176,47,2026-05-13,Colorado Springs,Manitou Springs,Manitou Springs,Colorado,80829,United States,mid_size_city,https://www.airbnb.com/rooms/1151037016175739743,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1151037016175739743/original/68114fec-6633-4102-9936-86167d352c36.jpeg,1151037016175739743,3999421,38.8567,-104.915,49.88,=AVERAGE($D$2:$D$98),1.88,"=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2,6743,1151037016175739743,The Avenue! Historic Mansion in DT Manitou Springs,,,,,,,,,
Whitewater Estate! The Grand South Main Residence!,Renjoy,,339943,361028,1343.65,74.41,340,6,6,16,true,false,true,true,false,false,false,Home/Apartment,Villa,House/villa,5,7,2,21+,Luxury,false,885,false,253,83,2026-05-11,Colorado Area,Buena Vista,Buena Vista,Colorado,81211,United States,mountains_lakes,https://www.airbnb.com/rooms/1213210134886246755,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1213210134886246755/original/71b2343f-c474-4b14-be53-11bc9aedff9d.jpeg,1213210134886246755,,38.8421,-106.1224,74.41,=AVERAGE($D$2:$D$182),0,"=IFERROR(($AU2-D2)/$AU2,0)",=$AU2-D2,21085,1213210134886246755,Whitewater Estate! The Grand South Main Residence!,,,,,,,,,
Whitewater Villa! Signature BV South Main Manor!,Renjoy,,230670,248839,1288.66,54.24,330,5,5,16,true,false,true,true,false,false,false,Home/Apartment,House,House/villa,4.85,36,2,21+,Luxury,true,684,false,179,55,2026-05-11,Colorado Area,Buena Vista,Buena Vista,Colorado,81211,United States,mountains_lakes,https://www.airbnb.com/rooms/1213251972621526514,https://a0.muscache.com/im/pictures/prohost-api/Hosting-1213251972621526514/original/b52a8c81-1ec9-4701-a9b8-e126f8d0c2a7.jpeg,1213251972621526514,4126385,38.8421,-106.1224,54.15,=AVERAGE($D$2:$D$182),0.09,"=IFERROR(($AU3-D3)/$AU3,0)",=$AU3-D3,18169,1213251972621526514,Whitewater Villa! Signature BV South Main Manor!,,,,,,,,,
